sep=,
naziv,naslov_natjecaja,url,kategorija,iznos,iznos_je_fond,rok_tekst,uvjeti,upute_za_prijavu,napomena,poveznica_natjecaj,status,zadnje_provjereno
MZO — državne stipendije (socio-ekonomski status),Državne stipendije za studente,https://mzom.gov.hr/istaknute-teme/odgoj-i-obrazovanje/visoko-obrazovanje/drzavne-stipendije/drzavne-stipendije-za-studente-nizega-socio-ekonomskoga-statusa/1563,Ministarstvo,"600 EUR mjesečno za STEM nastavničke studije, 300 EUR mjesečno za ostale STEM studije, 9 mjeseci; 200 EUR mjesečno za socio-ekonomski status, 9 mjeseci",False,4. listopada 2025. do 12.00 sati,"Redoviti studenti na visokim učilištima u RH sa hrvatskim državljanstvom ili državljanstvom EU/EGP/Švicarske. Za STEM: studiji iz STEM područja znanosti. Za socio-ekonomski status: prihodi kućanstva do 160% proračunske osnovice ili posebne kategorije (invalidi, djeca poginulih osoba).",Ministar donosi Odluku do 1. listopada | Raspisuje se Javni poziv do 25. listopada | Prijave podnose ispunjavanjem elektroničkog obrasca u Sustavu državnih stipendija | Liste objavljuju se nakon 60 dana od zatvaranja poziva,Za akademsku godinu 2025./2026. raspisano je 12.150 stipendija za socio-ekonomski status. STEM stipendije dodjeljuju se prema odvojenim listama za nastavničke studije i rang-listama prema razini i godini studija.,https://mzom.gov.hr/istaknute-teme/odgoj-i-obrazovanje/visoko-obrazovanje/drzavne-stipendije/162,ROK ISTEKAO (2025-10-04) — čeka se novi ciklus,2026-09-21T13:47
MZO — svi natječaji,Stipendija za romsku nacionalnu manjinu,https://mzom.gov.hr/natjecaji-196/196,Ministarstvo,,False,21. listopada 2026. godine do 23.59 sati,Polaznici srednjih škola pripadnici romske nacionalne manjine.,,Ovo je stranica s popisom natječaja. Detaljne informacije dostupne su na povezanoj podstranici natječaja.,,OTVORENO (rok 2026-10-21),2026-09-21T13:47
HANFA — studentske stipendije,Studentske stipendije,https://www.hanfa.hr/raditi-u-hanfi/studentske-stipendije/,Ministarstvo,,False,,"Redoviti studenti 3. godine ili viših godina prijediplomskog/integriranog ili diplomskog studija ekonomije, prava, matematike ili informatike s najmanje 300 ECTS bodova, aktivno znanje engleskog, hrvatski državljani bez drugih stipendija.",,"Stipendija se dodjeljuje povremeno, u skladu s mogućnostima Hanfe. Natječaj se objavljuje krajem ljetnog semestra. Trenutno nema aktivnog natječaja - prikazani su ishodi natječaja iz 2025. Iznos stipendije nije specificiran na stranici.",,NEMA AKTIVNOG NATJEČAJA (opća stranica),2026-09-21T13:47
Ministarstvo demografije — stipendije za učenje hrvatskog jezika,Stipendije za učenje hrvatskoga jezika,https://mdu.gov.hr/javni-pozivi/5923,Ministarstvo,,False,6. srpnja 2026. godine,"Hrvatski iseljenici, Hrvati izvan Republike Hrvatske i njihovi potomci, te supružnici hrvatskih iseljenika. Kandidati moraju imati navršenih 18 godina, završenu najmanje srednju školu te prebivalište izvan Republike Hrvatske ili boravište u RH ne duže od tri godine.",Popuniti e-prijavni obrazac dostupan online | Sastaviti potrebnu dokumentaciju prema Uputama | Poslati dokumentaciju u PDF formatu na stipendije@mdu.hr | Rok: 6. srpnja 2026.,"Do 700 stipendija. Nastava se održava na Filozofskim fakultetima u Zagrebu, Splitu, Rijeci, Osijeku i Puli te na Sveučilištu u Zadru. Informativne radionice na Zoomu 27. i 28. lipnja 2026. na engleskom, španjolskom i portugalskom jeziku.",https://mdu.gov.hr/javni-pozivi/javni-poziv-za-dodjelu-stipendija-za-ucenje-hrvatskoga-jezika-u-republici-hrvatskoj-za-akademsku-godinu-2026-2027/7580,ROK ISTEKAO (2026-07-06) — čeka se novi ciklus,2026-09-21T13:48
Grad Zagreb — stipendije,Stipendija za deficitarna zanimanja,https://www.zagreb.hr/stipendije-grada-zagreba/175198,Grad,"Mjesečno Stipendija iznosi 380,00 eura neto za učenike i 520,00 eura neto za studente",False,30.06.2025.,"Učenici redovnih srednja škola u Zagrebu ili Zagrebačkoj županiji s prosjekom ocjena najmanje 3,0. Studenti redovnih prijediplomskih, diplomskih ili integrirani studija s minimalnim ECTS bodovima i prosjekom ocjena najmanje 3,5.",,"Gradonačelnik raspisuje natječaj najkasnije do kraja rujna za studente prve godine, a do kraja listopada za studente ostalih godina.",https://www.zagreb.hr/stipendija-grada-zagreba-za-deficitarna-zanimanja/180282,ROK ISTEKAO (2025-06-30) — čeka se novi ciklus,2026-09-21T13:48
Grad Split — stipendiranje učenika i studenata,,https://split.hr/natjecaji/natjecaji-za-stipendiranje-i-sufinanciranje-ucenika-i-studenata,Grad,,False,,,,,,NEMA AKTIVNOG NATJEČAJA (opća stranica),2026-09-21T13:48
Grad Rijeka — stipendije,,https://www.rijeka.hr/teme-za-gradane/odgoj-i-obrazovanje/stipendije/,Grad,,False,,,,,,NEMA AKTIVNOG NATJEČAJA (opća stranica),2026-09-21T13:48
Grad Šibenik — stipendije,Studentske stipendije Grada Šibenika,https://www.sibenik.hr/stranice/stipendije/135.html,Grad,"180,00 EUR mjesečno, 10 mjeseci",False,8. studenoga 2025. godine,"Studenti s prebivalištem na području Grada Šibenika koji se školuju na sveučilišnim prijediplomskim, stručnim, diplomskim ili specijalističkim diplomskim studijima u Republici Hrvatskoj. Tri kategorije: prvi godina prijediplomskih (A), prva godina diplomskih (B), viši godine studija (C).",Preuzmite natječaj i pravilnik | Ispunite obrazac i priložite tražene dokumente | Prijavite se preko https://som-natjecaj.eu/authentication/login | Rok prijave: 8. studenoga 2025.,"Stipendije se dodjeljuju prema kriterijima izvrsnosti, deficitarnosti zanimanja i socijalno-ekonomskog statusa. Ukupno 50 stipendija: 16 za kategoriju A, 16 za kategoriju B, 18 za kategoriju C. Isplata od 1. listopada 2025. do 30. rujna 2026.",https://www.sibenik.hr/obavijesti/natjecaj-za-dodjelu-studentskih-stipendija-grada-sibenika-za-akademsku-godinu-2025-2026/696.html,ROK ISTEKAO (2025-11-08) — čeka se novi ciklus,2026-09-21T13:48
"Grad Zadar — stipendiranje, natječaji i obrasci",Stipendije učenicima i studentima,https://www.grad-zadar.hr/vijesti/odgoj-i-skolstvo--stipendiranje--natjecaji-i-obrasci-59/,Grad,,False,24. studenog 2025.,,,Detaljni natječaj dostupan u priloženoj PDF datoteci (NATJECAJ GRAD ZADAR- stipendije 2025.-2026. (1).pdf). Stranica sadrži samo osnovne podatke i rok prijave.,https://www.grad-zadar.hr/vijest/odgoj-i-skolstvo--stipendiranje--natjecaji-i-obrasci-59/n-a-t-j-e-c-a-j-za-dodjelu-stipendija-ucenicima-i-studentima-za-skolskuakademsku-20252026-godinu-9057.html,ROK ISTEKAO (2025-11-24) — čeka se novi ciklus,2026-09-21T13:48
Grad Osijek — natječaji,,https://www.osijek.hr/natjecaji/,Grad,,False,,,,,,NEMA AKTIVNOG NATJEČAJA (opća stranica),2026-09-21T13:48
Grad Varaždin — natječaji,,https://varazdin.hr/natjecaji/,Grad,,False,,,,,,NEMA AKTIVNOG NATJEČAJA (opća stranica),2026-09-21T13:48
